spu_code	status
PAU_00A6	2
PEL_009K	2
POU_026T	2
PEL_05XM	2
PEL_055J	2
POU_008F	2
PHO_008S	4
POU_006H	2
PEL_03OV	2
PEL_0CDS	2
HO1070KRQAO2	2
TO21220302DI	2
POU_024R	2
PTO_01QA	4
EL61317CNKKI	2
EL61319GVO75	2
EL6131K2TJU2	2
EL6131O4YVPI	2
PUSH4QF57J82	2
PEL_0498	2
PEL_0A37	0
PST_01W2	2
PHO_0OUT	2
PTO_0FZE	2
PEL_0G7V	2
PTO_0W7W	2
PTO_0FHI	2
FQZOL_QL9GY	2
PBE_0A66	2
PEL_0HBG	2
PBE_06I3	2
PBE_045V	2
PTO_02QW	2
PH453447NHQ2	2
PEL_05EW	2
PTO_044Y	2
PHO_0B64	2
PBY_02TI	2
PEL_02EI	2
PEL_03OE	2
PTO_051P	2
PEL_06AY	2
PEL_02V3	2
PHO_06D6	2
PH21227275SX	2
POU_02VQ	2
PHO_0AKE	2
HO10701XL407	2
PEL_06YA	2
PEL_05R2	2
ST4534RZ688G	2
PBE_03FF	2
PHO_00M5	2
POU_02XG	2
PH2122DLZ43G	2
PBE_041H	2
PEL_0061	2
EL61314U5F4W	2
PBY_0EKI	4
PH45344D0OYS	2
TOA2122O75D7	2
PAU_00BN	2
PHO_01IU	2
PTO_07F7	2
PTO_07DM	2
PTO_0DCK	2
PTO_0B1E	2
POU_05CU	2
PTO_099P	2
PHO_0OHI	2
PTO_0AGL	2
PHO_09EU	2
PTO_0E0J	2
POU_07CN	2
PHO_05CH	2
PHO_0DIS	2
PTO_06FM	2
POU_00B0	2
PHO_005O	2
OU4534H7O74D	2
L00JJBBTC00P	2
PTO_009F	2
PTO_039U	2
