spu_code	status	stock
POU_02H2	2	10
PTO_02MP	2	0
PHO_02L0	2	2
EL6131EJIK41	4	5
PEL_0077	4	0
PAU_03VG	2	92
TO2122P3XFYB	4	0
POU_00O0	4	0
PBE_036X	2	3
PEL_07UX	2	4
PBY_07IR	2	12
POU_03KQ	2	14
POU_03R6	2	10
PHO_02SX	2	10
PBE_02F6	2	0
PEL_07KB	4	0
PTO_052B	2	2
PTO_010Y	4	0
PBY_0B0K	2	5
PBY_08EE	2	1
PTO_0448	2	9
POU_01UJ	2	3
PEL_07XP	2	2
PHO_0CEI	2	1
PHO_01HT	4	0
PBY_0BGJ	2	18
OU45344DJRKY	4	0
PBY_0CKK	2	9
PAU_00MQ	2	3
PBE_000Y	2	7
PAU_05Q8	4	1
POU_03NV	2	0
PHO_04H8	4	0
PHO_0C61	2	0
PHO_0B9L	2	0
PBE_03NU	2	17
PEL_03L0	2	4
PHO_07XH	2	0
PHO_050F	2	15
PTO_01GB	4	0
PEL_0757	2	0
PEL_0359	2	0
PTO_03K9	2	6
PAU_02T7	4	20
PEL_02JX	2	6
PEL_07ZX	2	2
POU_02AA	2	8
PBE_05FP	2	9
HO107066QKMK	4	0
POU_03QY	2	6
PBE_01SD	2	6
PEL_00V0	2	10
PTO_020B	2	7
POU_02XG	2	5
PUSHV1R0O734	2	10
PAU_03MG	4	15
PH212279845Q	2	2
PAU_03PH	2	10
PEL_0474	2	8
PEL_0095	2	4
PBE_05FO	2	2
PEL_09RO	2	58
PBY_0E36	2	23
PBY_02TI	2	2
PEL_08EL	2	1
PBY_04QJ	2	1
PEL_08NR	2	9
PTO_04WQ	2	5
POU_07DB	4	0
PBY_0P1N	2	1
PBY_0P1O	2	0
PBY_0P1P	4	0
PBY_0P1Q	2	13
PBY_0P1R	2	28
PBY_0Q5Y	2	0
PBY_0Q5Z	2	0
PBY_0Q60	2	0
PBY_0Q62	2	0
PHO_08P0	2	0
PBY_0Q5L	2	0
PBY_0Q56	2	0
PBY_0PDA	4	0
PBY_0PDD	2	32
PBY_0PDG	2	34
PTO_0DKC	4	0
PTO_0DKD	4	0
PBY_0PGR	4	0
PBY_0PGS	4	0
PBY_0PGT	4	0
PBY_0PH0	4	0
PBY_0PH2	4	0
PBY_0PH4	4	0
PBY_0PH9	4	0
PBY_0PRN	4	0
PBY_0PRV	4	0
PBY_0PRW	4	0
PBY_0PRX	4	0
PBY_0PRY	4	0
PBY_0PRZ	4	0
PBY_0PS0	4	0
PBY_0PS1	4	0
PBY_0PS4	4	0
PBY_0PTJ	4	0
PBY_0PTL	4	0
PBY_0PTM	4	0
PBY_0PQR	4	0
PBY_0PPO	4	0
PBY_0PPP	4	0
PBY_0PQQ	4	0
PBY_0PR3	4	0
PBY_093K	4	0
PBY_09U8	2	2
PBY_0I7O	2	1
PBY_0ILI	2	0
PAU_06CX	4	3
PBY_0KDN	4	0
PBY_0PLG	4	0
PBY_0PQT	4	0
PEL_08WC	2	1
PBY_0QHY	4	0
PBY_0QIO	4	0
PBY_0QJ5	4	0
PBY_0QJZ	4	0
PBY_0QKK	4	0
PBY_0QKG	4	0
PBY_0QKE	4	0
PBY_0QI3	4	0
PBY_0QKN	4	0
PEL_04FA	2	0
PBY_0FLE	2	9
PHO_0866	4	0
PHO_0GVT	2	10
PBY_0QKF	4	0
PTO_0E52	4	0
PBY_0QI1	4	0
PBY_0QK6	4	0
PBY_0QJ3	4	0
PBY_0QIL	4	0
PBY_0QIR	4	0
PBY_0QJR	4	0
PBY_0QIT	4	0
PBY_0QIU	4	0
PBY_0QKQ	4	0
PBY_0QJQ	4	0
PBY_0QJS	4	0
PBY_0QJY	4	0
PBY_0QI2	4	0
PBY_0QKM	4	0
PBY_0QK7	4	0
PBY_0QIV	4	0
PBY_0QIH	4	0
PBY_0QJ0	4	0
PBY_0QK0	4	0
PBY_0QKP	4	0
PBY_0QI0	4	0
PBY_0QIJ	4	0
PBY_0QII	4	0
PBY_0QIS	4	0
PBY_0QIN	4	0
PBY_0QIK	4	0
PTO_070K	2	16
PEL_0C5D	2	20
PTO_05YR	2	9
PBY_0FJG	2	36
PEL_0A39	2	11
PBY_0HQ6	2	8
PEL_06RP	2	18
PEL_06AY	2	0
PHO_0DUJ	2	0
HO10700O8711	4	10
PBE_061Z	2	68
PEL_0AVS	2	10
PEL_004D	2	34
PEL_02OP	2	24
PTO_0C4P	2	0
PHO_061L	2	8
PHO_0G1Z	2	8
PEL_038B	4	0
PEL_00LD	2	2
PBE_0A6L	2	0
PBE_0A6N	2	0
PBE_0A6M	4	0
PHO_0CVM	2	4
PHO_077I	2	16
PHO_05NA	2	12
FQ1TO_N40PA	4	0
PAU_042S	2	0
PHO_0BJG	2	0
PHO_04VQ	2	3
PHO_0GE6	2	7
PHO_0ACR	2	2
PHO_03I3	2	28
PHO_0B3E	2	6
PHO_0BXJ	2	4
FQ1TO_GX0BD	4	0
PBY_0RRE	4	0
PBE_03DN	2	3
PBY_0CE7	2	11
PEL_08B9	2	9
PBY_0FDZ	2	4
POU_03KT	4	4
PTO_04YG	2	7
PHO_0HE8	2	12
POU_04I8	2	15
PHO_0COV	4	0
A05SZODWSJT0	4	0
PBY_0EAZ	2	41
PHO_0GDD	2	11
PBY_0DIG	2	5
PBY_0C7P	2	27
PHO_06TD	2	47
PTO_0ENU	2	0
PBY_0CJD	2	5
PHO_0DH4	2	27
